POWSP,SERIALNO,MAR_New,ppl_count,marriage_prop,marriage_prop_percent
1,3243,1178,3243,0.3632439,36.32439
4,5052,1570,5052,0.310768,31.0768
5,2083,874,2083,0.4195871,41.95871
6,31629,7770,31629,0.2456606,24.56606
8,4694,1457,4694,0.3103963,31.03963
9,2810,590,2810,0.2099644,20.99644
10,705,193,705,0.2737589,27.37589
11,1643,347,1643,0.211199,21.1199
12,13713,3627,13713,0.2644936,26.44935
13,7546,2452,7546,0.3249404,32.49404
16,1185,523,1185,0.4413502,44.13502
17,10630,2926,10630,0.2752587,27.52587
18,5312,1813,5312,0.3413027,34.13027
19,2725,951,2725,0.3489908,34.89908
20,2445,1013,2445,0.4143149,41.43149
21,3407,1282,3407,0.3762841,37.62841
22,3653,1108,3653,0.3033123,30.33123
23,813,244,813,0.300123,30.0123
24,4795,1156,4795,0.2410845,24.10845
25,6304,1192,6304,0.1890863,18.90863
26,7148,1984,7148,0.2775601,27.75602
27,4297,1386,4297,0.3225506,32.25506
28,1909,652,1909,0.3415401,34.15401
29,4949,1708,4949,0.3451202,34.51202
30,719,255,719,0.3546593,35.46592
31,1626,586,1626,0.3603936,36.03936
32,2142,654,2142,0.3053221,30.53221
33,946,244,946,0.2579281,25.79281
34,6245,1345,6245,0.2153723,21.53723
35,1435,444,1435,0.3094077,30.94077
36,17252,3703,17252,0.2146418,21.46418
37,7411,2341,7411,0.3158818,31.58818
38,716,287,716,0.400838,40.0838
39,9560,2827,9560,0.2957113,29.57113
40,3006,1257,3006,0.4181637,41.81637
41,2926,972,2926,0.3321941,33.21941
42,10034,2706,10034,0.2696831,26.96831
44,868,163,868,0.187788,18.7788
45,3533,1050,3533,0.2971978,29.71979
46,714,276,714,0.3865546,38.65546
47,5049,1782,5049,0.3529412,35.29412
48,21367,7361,21367,0.3445032,34.45032
49,2767,1372,2767,0.4958439,49.58439
50,450,113,450,0.2511111,25.11111
51,7009,2113,7009,0.3014695,30.14695
53,5501,1779,5501,0.3233958,32.33957
54,1192,425,1192,0.3565436,35.65436
55,4388,1369,4388,0.3119873,31.19872
56,527,225,527,0.426945,42.6945
